Company_Name,DUNS_Num,CIK_Num,Year_x,Funding_Type,Funding_Amt,Funding_Source,HC_Status,HC_Maturity,HC_Section,HC_Phase
Byrd-Carlson,827811626,1648827,1976,Seed,632523,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Travis, Anderson and Cooke",827811626,1648827,2005,Series C,560075,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Durham, Johnson and Cole",827811626,1648827,1977,Series D,963354,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Taylor, Jenkins and Jackson",827811626,1648827,1992,Series C,427683,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Reed Ltd,827811626,1648827,1985,Series D,970320,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Anderson, Pittman and Sandoval",827811626,1648827,1975,Series C,502409,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Nguyen and Sons,827811626,1648827,1973,Series B,908075,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Johnson-Rogers,827811626,1648827,2004,Series F,435199,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Fox-Harrison,827811626,1648827,2014,Series F,24387,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Stephens, Drake and Anderson",827811626,1648827,1983,Series E,874705,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Henderson-Herrera,827811626,1648827,1982,Series F,287190,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Long, Weeks and Paul",827811626,1648827,2014,Series B,864185,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Morgan, Cruz and Rogers",827811626,1648827,2004,Series C,469665,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Keller, Davis and Hansen",827811626,1648827,1978,Series A,764275,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Andrade-Hensley,827811626,1648827,1970,Government Award,317202,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Walter PLC,827811626,1648827,2005,Series F,769603,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Mooney, Sanders and Patterson",827811626,1648827,1998,Government Award,932022,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Barnes and Sons,827811626,1648827,1988,Series B,183179,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Brown, Friedman and Anderson",827811626,1648827,1999,Series A,559949,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Armstrong-Carson,827811626,1648827,2000,Series B,677295,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Freeman Inc,827811626,1648827,1972,Series A,61249,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Murillo Group,827811626,1648827,2001,Series D,269106,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Ferguson Inc,827811626,1648827,2002,Seed,17461,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Fitzgerald-Reynolds,827811626,1648827,1997,Series D,645042,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Cortez Ltd,827811626,1648827,1985,Seed,332438,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Keller-Fisher,827811626,1648827,2002,Government Award,566270,NSF,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
James-Spencer,827811626,1648827,1973,Series A,81197,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Love-Alexander,827811626,1648827,2009,Government Award,361278,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Spears PLC,827811626,1648827,2005,Series A,563387,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Holmes-Brown,827811626,1648827,1999,Series F,399850,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Kirk Group,827811626,1648827,1971,Series A,391389,DHHS,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Whitehead Ltd,827811626,1648827,1996,Series B,829456,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Payne, Blackburn and Jones",827811626,1648827,2021,Series C,997346,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Lopez, Munoz and Rodriguez",827811626,1648827,1983,Seed,765048,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Simon-Hernandez,827811626,1648827,1991,Government Award,556569,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Nguyen-Robinson,827811626,1648827,1986,Series D,926317,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Baker PLC,827811626,1648827,1988,Series D,951939,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Rivera-Love,827811626,1648827,1983,Series A,418699,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Harris-Gomez,827811626,1648827,1994,Seed,78297,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Robinson and Sons,827811626,1648827,2006,Series F,854207,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Cross, Reyes and Mayo",827811626,1648827,1992,Series F,986622,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Wade, Paul and Brooks",827811626,1648827,1987,Seed,126580,DARPA,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Guerrero-Barrera,827811626,1648827,1972,Government Award,946252,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Evans Inc,827811626,1648827,2007,Series D,271969,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Jackson-Johnson,827811626,1648827,1977,Series B,722040,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"West, Morris and Malone",827811626,1648827,1971,Series F,130873,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Miller-Ward,827811626,1648827,1993,Seed,554241,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Warren, Stokes and Ochoa",827811626,1648827,1994,Series D,204742,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Dickerson LLC,827811626,1648827,1994,Government Award,80333,DARPA,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
"Juarez, Johnson and Lee",827811626,1648827,1980,Series C,966960,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Leonard-Yang,827811626,1648827,1973,Seed,108647,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Acosta-Logan,827811626,1648827,1984,Government Award,253463,Venture Capital,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Kim-Morris,827811626,1648827,2019,Series E,938832,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Martin, Garcia and Bartlett",827811626,1648827,1979,Series E,399288,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Benson, Smith and Perez",827811626,1648827,2000,Series F,359441,DHHS,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Finley, Mitchell and Dunn",827811626,1648827,2005,Series E,902236,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Smith-Mcpherson,827811626,1648827,1993,Series F,964924,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Welch, Chapman and Valdez",827811626,1648827,1998,Series F,654215,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Haynes, Krueger and Hendrix",827811626,1648827,1982,Seed,835577,NSF,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
"Wood, Paul and Salinas",827811626,1648827,2005,Series A,926101,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Gomez-Harris,827811626,1648827,1975,Government Award,29158,DHHS,In_Labs,Embryonic,On_The_Rise,Innovation_Trigger
Dawson-Owens,827811626,1648827,1998,Seed,562433,Venture Capital,Pilots_and_Deployments,Emerging,At_The_Peak,Peak_of_Inflated_Expectations
Conrad-Jones,827811626,1648827,1994,Series C,130224,NSF,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
Little-Strickland,827811626,1648827,2000,Series D,731587,Venture Capital,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
"Lewis, Williams and Mcdonald",827811626,1648827,1975,Series B,136405,DARPA,Pilots_and_Deployments,Emerging,Sliding_Into_Trough,Trough_of_Disillusionment
